identificación,Apellidos,Nombres,Edad,Genero,Asginatura,Nota
1,Bobbie,Berrie,40,Masculino,Front,3.77
2,Willette,Rawlings,23,,Front,0.59
3,Barbra,MacCambridge,30,Masculino,FullS,
4,Kalie,McAdam,46,Femenino,Front,3.3
5,Rufus,McKinnon,40,Femenino,FullS,1.13
6,Carlynn,Packington,24,,Front,0.86
7,Beth,Kach,36,Femenino,Back,3.04
8,Nappy,Hrinchishin,55,Femenino,Back,3.19
9,Seumas,Brockie,58,Femenino,Front,0.54
10,Petrina,Mills,21,Femenino,Back,1.83
11,Tymon,Reiglar,27,,Front,1.41
12,Cleavland,Reef,54,No Binario,FullS,1.08
13,Conroy,Fosberry,47,Femenino,FullS,0.66
14,Mordecai,Stang-Gjertsen,34,Femenino,Back,3.16
15,Belinda,Ledgeway,59,Femenino,Back,2.67
16,Shandy,Leijs,30,No Binario,,3.84
17,Brandi,Riddell,44,Masculino,Back,2.98
18,Noah,Dumigan,50,Masculino,Front,3.36
19,Josefa,Cron,36,Femenino,Front,0.77
20,Xena,Postles,25,,FullS,3.56
21,Duffy,Bartley,45,Femenino,Front,2.43
22,Gavin,Quirke,24,Femenino,Back,0.98
23,Fran,Tregunnah,50,Femenino,Front,1.28
24,Leila,Haspineall,50,Masculino,FullS,3.86
25,Skippie,Santello,28,No Binario,Front,0.06
26,Nance,Janzen,60,Femenino,Front,1.53
27,Pru,Pickersgill,56,Femenino,FullS,3.18
28,Sheffie,Wahncke,22,Femenino,FullS,2.78
29,Mariquilla,Paulton,17,,FullS,0.34
30,Ray,MacRirie,17,No Binario,Back,2.93
31,Reginald,Binyon,31,Masculino,Back,1.01
32,Annice,Reditt,58,Femenino,Front,2.35
33,Devin,Vero,26,Masculino,Front,0.68
34,Thorsten,Gravenall,52,Femenino,FullS,1.96
35,Henderson,MacRury,38,Femenino,Front,2.13
36,Harley,Binnall,60,Femenino,Front,0.52
37,Marcos,Truswell,29,Femenino,Front,0.0
38,Audy,Tovey,20,Femenino,Back,2.44
39,Frayda,Belli,16,Femenino,Front,0.63
40,Kennan,Lamplugh,51,Masculino,Front,0.98
41,Windy,Lewington,50,Femenino,Front,2.92
42,Romonda,Rentoll,22,Femenino,Back,1.33
43,Darcy,Fotherby,30,Femenino,Front,0.66
44,Maurise,Hun,39,,Front,0.51
45,Carola,Inworth,44,Masculino,Front,3.51
46,Naomi,Sayre,,Masculino,Front,2.01
47,Marysa,Aymer,19,Femenino,FullS,0.39
48,Bunni,Kivlin,39,Masculino,Front,2.63
49,Odell,Dowyer,21,Masculino,Front,0.71
50,Wayland,Reddie,49,Femenino,Back,0.57
51,Hube,Gilks,58,Femenino,Front,2.37
52,Jessey,Kingcott,53,No Binario,Back,3.56
53,Dorian,Rosenberger,53,Femenino,FullS,0.91
54,Katha,Warlaw,25,Masculino,Back,2.57
